REF_AREA_NAME;INDICATOR_NAME;UNIT_MEASURE_NAME;TIME_PERIOD;OBS_VALUE
Luxembourg;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.993
Macao SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.0
Madagascar;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Malawi;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Malaysia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.525
Maldives;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Mali;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Malta;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.5
Marshall Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Mauritania;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Mauritius;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.27
Mexico;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.798
Micronesia, Fed. Sts.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Moldova;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.498
Mongolia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.427
Montenegro;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Morocco;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;11.995
Mozambique;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Myanmar;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Namibia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Nauru;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Nepal;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Netherlands;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.9
New Zealand;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.036
Nicaragua;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.763
Niger;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Nigeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
North Macedonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;14.1
Norway;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.8
Oman;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Pakistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.0
Palau;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Panama;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.4
Papua New Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Paraguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.995
Peru;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.6
Philippines;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.083
Poland;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.928
Portugal;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.484
Puerto Rico;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.677
Qatar;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Romania;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.6
Russian Federation;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.117
Rwanda;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Samoa;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
San Marino;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.945
Sao Tome and Principe;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Saudi Arabia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Senegal;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Serbia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;9.4
Seychelles;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.0
Sierra Leone;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Singapore;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;1.9
Slovak Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.9
Slovenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.721
Solomon Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Somalia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
South Africa;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;33.465
South Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Spain;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;11.642
Sri Lanka;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
St. Kitts and Nevis;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
St. Lucia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
St. Vincent and the Grenadines;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;49.543
Suriname;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;10.3
Sweden;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.365
Switzerland;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.25
Syrian Arab Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Taiwan, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.67
Tajikistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Tanzania;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Thailand;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;1.1
Timor-Leste;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Togo;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Tonga;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Trinidad and Tobago;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Tunisia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Turkiye;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;9.6
Turkmenistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Tuvalu;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Uganda;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Ukraine;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;14.514
United Arab Emirates;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
United Kingdom;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.15
United States;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.993
Uruguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.09
Uzbekistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;7.851
Vanuatu;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Venezuela, RB;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Viet Nam;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.063
West Bank and Gaza;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Yemen, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Zambia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Zimbabwe;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Afghanistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Albania;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;11.0
Algeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Andorra;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;1.5
Angola;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Antigua and Barbuda;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Argentina;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.575
Armenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;12.5
Aruba;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.691
Australia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.669
Austria;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.1
Azerbaijan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.583
Bahamas, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.79
Bahrain;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Bangladesh;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Barbados;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.438
Belarus;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.455
Belgium;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.533
Belize;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.4
Benin;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Bhutan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.5
Bolivia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.9
Bosnia and Herzegovina;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;13.3
Botswana;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Brazil;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.975
Brunei Darussalam;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.9
Bulgaria;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.419
Burkina Faso;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Burundi;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Cabo Verde;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.5
Cambodia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Cameroon;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Canada;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.408
Central African Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Chad;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Chile;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.84
China;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.2
Colombia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;10.1
Comoros;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Congo, Dem. Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Congo, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Costa Rica;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.297
Cote d'Ivoire;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Croatia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.217
Cyprus;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.135
Czechia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.579
Denmark;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.892
Djibouti;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Dominica;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Dominican Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.2
Ecuador;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.7
Egypt, Arab Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.185
El Salvador;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.5
Equatorial Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Eritrea;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Estonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.376
Eswatini;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Ethiopia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Fiji;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.5
Finland;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.208
France;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.413
Gabon;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Gambia, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Georgia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;16.4
Germany;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.008
Ghana;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Greece;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;10.891
Grenada;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Guatemala;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Guinea-Bissau;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Guyana;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Haiti;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Honduras;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.082
Hong Kong SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.9
Hungary;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.125
Iceland;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.383
India;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Indonesia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.32
Iran, Islamic Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;9.0
Iraq;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Ireland;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.317
Israel;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.467
Italy;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.658
Jamaica;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.4
Japan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.567
Jordan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Kazakhstan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.775
Kenya;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Kiribati;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Korea, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.7
Kosovo;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Kuwait;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Kyrgyz Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;9.014
Lao PDR;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Latvia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.503
Lebanon;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Lesotho;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Liberia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Libya;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Lithuania;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.558
Luxembourg;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.23
Macao SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.65
Madagascar;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Malawi;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Malaysia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.625
Maldives;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Mali;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Malta;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.5
Marshall Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Mauritania;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Mauritius;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.27
Mexico;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.796
Micronesia, Fed. Sts.;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Moldova;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.457
Mongolia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.03
Montenegro;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Morocco;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;13.0
Mozambique;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Myanmar;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Namibia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Nauru;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Nepal;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Netherlands;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.553
New Zealand;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.725
Nicaragua;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.157
Niger;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Nigeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
North Macedonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;14.3
Norway;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.6
Oman;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Pakistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;8.5
Palau;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Panama;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.431
Papua New Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Paraguay;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.19
Peru;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.787
Philippines;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.35
Poland;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.82
Portugal;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.583
Puerto Rico;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;6.852
Qatar;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Romania;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.567
Russian Federation;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.167
Rwanda;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Samoa;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
San Marino;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;4.045
Sao Tome and Principe;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Saudi Arabia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Senegal;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Serbia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;9.458
Seychelles;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.0
Sierra Leone;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Singapore;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;1.925
Slovak Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;5.842
Slovenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.675
Solomon Islands;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Somalia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
South Africa;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;32.8
South Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Spain;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;12.115
Sri Lanka;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
St. Kitts and Nevis;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
St. Lucia;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
St. Vincent and the Grenadines;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Sudan;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;45.961
Suriname;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;10.6
Sweden;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;7.667
Switzerland;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;2.035
Syrian Arab Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;
Taiwan, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2023;3.67
